ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
UK,UK,United Kingdom,899791,936185,987515,1031117,1072157,1132892,1189413,1259906,1325927,1390158,1442023,1410178,1449003,1484323,1531610,1589831,1660753,1709030,1774630,1856764,1920289,1995708,1897957,2046636,2246047
Other,TLB,England,765598,797715,836216,873593,911441,962512,1008427,1066793,1121203,1179044,1220667,1198760,1231484,1259186,1302700,1354199,1420932,1471797,1530716,1598480,1650168,1716439,1637936,1768787,1940267
ITL1,TLC,North East,28815,29251,30138,31390,33510,35433,38385,40202,42343,43213,44394,44178,44806,45596,46738,47418,48819,50550,51282,52688,53530,55926,52799,57334,63107
ITL2,TLC1,Tees Valley and Durham,12210,12708,13130,13365,14061,15070,16138,16734,17694,18257,18948,19092,19163,19174,19529,19943,20416,21138,21221,21428,22174,22918,22586,24211,26381
ITL3,TLC11,Hartlepool and Stockton-on-Tees,3317,3469,3559,3585,3785,4053,4344,4497,4817,5069,5167,5307,5295,5317,5412,5644,5754,6102,6276,6209,6254,6569,6569,6937,7534
ITL3,TLC12,South Teesside,2733,2810,2886,2866,2964,3206,3378,3558,3711,3788,3968,3986,3990,4053,4105,4132,4262,4411,4454,4473,4752,4804,4570,4970,5481
ITL3,TLC13,Darlington,1517,1552,1671,1776,1897,2020,2155,2140,2177,2136,2265,2142,2207,2262,2284,2318,2572,2722,2570,2555,2522,2495,2301,2546,2712
ITL3,TLC14,Durham CC,4642,4878,5015,5139,5415,5791,6261,6539,6990,7265,7549,7657,7672,7542,7729,7849,7828,7904,7922,8190,8646,9050,9145,9758,10654
ITL2,TLC2,"Northumberland, and Tyne and Wear",16605,16542,17008,18025,19449,20363,22247,23468,24649,24956,25446,25086,25642,26422,27208,27475,28403,29411,30061,31260,31357,33009,30213,33123,36727
ITL3,TLC21,Northumberland,3034,3028,3079,3186,3438,3560,3822,3951,4157,4241,4378,4290,4398,4499,4529,4504,4660,4747,4899,4993,5034,5357,5097,5488,6300
ITL3,TLC22,Tyneside,10074,10090,10373,11086,11969,12579,13771,14618,15333,15534,15711,15342,15857,16477,17080,16896,17443,18176,18594,19380,19532,20449,18804,21064,23196
ITL3,TLC23,Sunderland,3497,3424,3556,3753,4042,4224,4653,4900,5159,5180,5357,5454,5387,5446,5599,6075,6299,6488,6567,6888,6791,7203,6312,6571,7231
ITL1,TLD,North West,88089,92298,94663,100515,105185,110994,117216,123292,130331,135195,138380,137556,140447,141431,145755,150842,156757,162842,168574,176776,181259,189804,185450,199671,219707
ITL2,TLD1,Cumbria,6551,6758,6703,6730,7150,7659,7909,8294,8966,9207,9877,9643,9862,9792,10174,10531,11027,11438,11308,11527,11775,12415,11432,12212,13263
ITL3,TLD11,West Cumbria,3010,3124,2890,2834,2999,3155,3218,3454,3711,3777,4152,4062,4192,4169,4376,4554,4803,4923,4787,4795,4932,5056,4729,4913,5188
ITL3,TLD12,East Cumbria,3541,3634,3813,3896,4151,4504,4692,4840,5255,5430,5725,5581,5670,5624,5797,5977,6224,6515,6521,6732,6844,7359,6702,7298,8075
ITL2,TLD3,Greater Manchester,33213,34845,35794,37970,39753,41514,43814,46698,49200,51586,52461,52755,53632,53684,56048,58419,60020,62535,64589,69158,72175,75264,75395,80667,89516
ITL3,TLD33,Manchester,8872,9308,9540,10309,10947,11557,12464,13491,14468,15240,15554,16057,16540,16586,17373,17828,18406,19348,20589,22669,23476,25281,24782,27504,31506
ITL3,TLD34,Greater Manchester South West,7575,7945,8173,8703,9117,9540,10054,10708,11283,11827,12104,11959,12079,12133,12731,13631,14184,14794,14942,15724,16797,17424,17847,19180,20993
ITL3,TLD35,Greater Manchester South East,5462,5759,5964,6219,6469,6738,6969,7351,7649,8025,8271,8329,8346,8252,8528,8718,8804,8858,9089,9809,10184,10291,10483,10848,11989
ITL3,TLD36,Greater Manchester North West,5585,5828,5947,6285,6483,6742,7047,7472,7817,8134,8082,8076,8168,8184,8546,9059,9275,9775,10060,10564,10999,10975,11316,11844,12774
ITL3,TLD37,Greater Manchester North East,5718,6005,6169,6453,6737,6938,7281,7677,7985,8361,8450,8333,8499,8528,8869,9183,9350,9761,9908,10393,10719,11293,10967,11291,12253
ITL2,TLD4,Lancashire,17686,18435,18834,19479,20410,22074,23430,24254,24842,25943,26407,25118,25638,26123,27105,27810,28789,30326,31897,32780,32954,34189,32959,36171,39601
ITL3,TLD41,Blackburn with Darwen,1528,1582,1596,1632,1712,1849,1938,1990,2048,2143,2217,2162,2249,2305,2446,2525,2651,2823,2972,3019,3049,3142,3094,3433,3837
ITL3,TLD42,Blackpool,1274,1309,1338,1403,1481,1609,1735,1811,1862,1901,1912,1844,1928,1939,2006,2042,2123,2230,2371,2516,2614,2843,2663,2795,3187
ITL3,TLD44,Lancaster and Wyre,2357,2424,2397,2448,2608,2901,3091,3291,3467,3585,3664,3370,3363,3401,3539,3750,3819,4211,4258,4309,4374,4611,4491,4711,5258
ITL3,TLD45,Mid Lancashire,6837,7173,7458,7762,8096,8769,9365,9662,9784,10280,10397,9851,9925,10099,10493,10779,11039,11639,12219,12518,12261,12468,12179,13537,14690
ITL3,TLD46,East Lancashire,3453,3639,3676,3771,3891,4149,4355,4517,4633,4823,4890,4601,4749,4919,5103,5149,5400,5540,5857,6026,6122,6224,5840,6414,6823
ITL3,TLD47,Chorley and West Lancashire,2236,2308,2368,2462,2621,2797,2945,2983,3048,3211,3326,3290,3424,3462,3518,3564,3757,3883,4220,4390,4534,4901,4692,5281,5806
ITL2,TLD6,Cheshire,14460,15176,15542,17516,18031,18301,19511,20629,22085,23096,23099,22922,23889,24340,25223,26172,27645,28271,29952,31342,32046,33686,32402,34040,37739
ITL3,TLD61,Warrington,3631,3688,3871,4254,4438,4586,4738,5050,5289,5582,5542,5283,5404,5507,5687,6000,6343,6709,6988,7559,7612,8137,8105,8643,9273
ITL3,TLD62,Cheshire East,5936,6215,6454,7537,7765,7473,8346,8873,9564,9752,9695,9448,9840,10316,10862,11147,11812,12328,13364,13346,13788,14245,13848,13765,15244
ITL3,TLD63,Cheshire West and Chester,4892,5273,5216,5725,5829,6241,6427,6705,7232,7762,7863,8191,8646,8517,8674,9024,9491,9233,9599,10438,10645,11304,10449,11632,13222
ITL2,TLD7,Merseyside,16179,17083,17790,18820,19840,21445,22552,23417,25237,25362,26537,27119,27425,27491,27206,27911,29277,30273,30829,31968,32310,34250,33262,36582,39589
ITL3,TLD71,East Merseyside,5485,5738,5925,6200,6458,6902,7091,7299,7838,7898,8257,8247,8512,8580,8438,8870,9354,9664,9925,10247,10323,10772,10137,11312,11823
ITL3,TLD72,Liverpool,5972,6293,6661,7095,7513,8273,8816,9319,10181,10150,10695,11205,11227,11292,11096,11228,11782,12111,12316,12806,12958,14078,13599,15061,16693
ITL3,TLD73,Sefton,2140,2287,2357,2511,2680,2849,2997,3085,3279,3321,3450,3501,3523,3431,3431,3486,3629,3751,3899,4038,4106,4174,4196,4663,4991
ITL3,TLD74,Wirral,2582,2765,2847,3015,3189,3421,3648,3714,3939,3993,4135,4166,4163,4187,4241,4327,4513,4747,4689,4878,4923,5227,5330,5546,6081
ITL1,TLE,Yorkshire and The Humber,62633,64593,66862,70274,74231,79287,83764,87994,92371,97637,98981,97147,97817,99395,101772,104474,107663,112316,114466,120103,123864,128454,123702,137913,151325
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,10785,10829,11350,11898,12598,13575,14305,14870,15632,16548,17498,16882,16618,16246,16511,16843,17404,18419,18726,19651,20116,21452,20071,23928,26718
ITL3,TLE11,"Kingston upon Hull, City of",3024,3106,3307,3473,3716,3995,4095,4292,4710,4940,5472,5481,5211,5022,5092,5086,5130,5382,5534,5758,5938,6039,5433,6325,6930
ITL3,TLE12,East Riding of Yorkshire,3740,3712,3868,4060,4381,4659,5002,5129,5426,5505,5592,5346,5186,5208,5367,5531,5811,6059,6135,6416,6827,7130,6924,8057,8935
ITL3,TLE13,North and North East Lincolnshire,4021,4011,4176,4365,4501,4922,5207,5450,5497,6103,6434,6055,6221,6016,6051,6226,6463,6978,7057,7477,7351,8283,7714,9546,10853
ITL2,TLE2,North Yorkshire,10594,10881,11398,12062,13226,14005,14635,15079,15708,16580,16890,16458,16479,17024,17453,18021,18400,18733,19327,20666,20866,21609,20536,23396,25721
ITL3,TLE21,York,3201,3339,3497,3769,4169,4464,4705,4868,4950,5192,5205,5055,5151,5253,5375,5408,5527,5639,5817,6210,6366,6419,5943,6776,7632
ITL3,TLE22,North Yorkshire CC,7394,7542,7901,8293,9057,9541,9930,10211,10758,11389,11685,11403,11329,11772,12078,12613,12874,13094,13510,14455,14500,15190,14593,16620,18089
ITL2,TLE3,South Yorkshire,13542,13625,14178,15196,16111,17184,18208,19003,20041,21429,21249,20854,21415,21879,22572,23119,23852,24746,25134,26211,26536,27584,27504,29548,32159
ITL3,TLE31,"Barnsley, Doncaster and Rotherham",7016,7047,7299,7690,8093,8607,9115,9473,9954,10692,10645,10179,10527,10724,11209,11429,11927,12532,12803,13712,13965,14439,14265,15222,16477
ITL3,TLE32,Sheffield,6526,6579,6879,7506,8018,8577,9093,9530,10087,10736,10604,10676,10888,11155,11363,11690,11925,12215,12330,12500,12571,13146,13240,14326,15681
ITL2,TLE4,West Yorkshire,27712,29258,29936,31118,32296,34523,36616,39042,40990,43080,43344,42952,43304,44246,45235,46491,48006,50418,51279,53575,56346,57807,55591,61041,66727
ITL3,TLE41,Bradford,5224,5493,5551,5767,5954,6274,6609,6974,7219,7595,7863,7793,7784,8054,8192,8380,8478,8797,9017,9469,9600,9714,9661,10352,11411
ITL3,TLE42,Leeds,12322,13119,13511,14077,14778,16037,17293,18582,19762,20865,20766,20714,21064,21430,21883,22492,23133,23977,24234,24964,26483,27405,25982,28920,31959
ITL3,TLE44,Calderdale and Kirklees,6135,6414,6509,6729,6867,7274,7593,8127,8474,8904,8861,8672,8797,9001,9243,9507,10276,11078,11210,12059,12718,12776,12273,13483,14164
ITL3,TLE45,Wakefield,4031,4232,4365,4544,4697,4938,5121,5359,5536,5716,5853,5773,5660,5761,5916,6113,6118,6566,6819,7083,7546,7913,7674,8287,9194
ITL1,TLF,East Midlands,54269,55741,57804,60154,62571,65719,68942,72566,76597,80111,83420,81060,83930,85201,88406,92104,95480,98369,100969,104846,109472,113367,110744,119820,128795
ITL2,TLF1,Derbyshire and Nottinghamshire,25005,25900,26304,27342,28548,29650,31517,33655,34896,36106,37209,36213,37640,38842,40184,41682,42756,43927,45110,46489,48454,50389,50451,53281,56294
ITL3,TLF11,Derby,3773,4016,4180,4391,4634,4793,5188,5680,5852,5996,6126,6001,6076,6398,6523,6798,6646,6637,6705,6706,7171,7456,7751,8155,8380
ITL3,TLF12,East Derbyshire,2905,2979,3037,3175,3272,3351,3508,3760,3841,3994,4154,4025,4182,4227,4414,4551,4727,5151,5269,5458,5715,5883,6152,6664,7016
ITL3,TLF13,South and West Derbyshire,5432,5536,5531,5680,5906,6141,6433,6900,6976,7160,7428,6969,7484,7695,8043,8568,8828,8959,9375,9652,10021,10730,10580,11138,11471
ITL3,TLF14,Nottingham,4559,4742,4823,5110,5409,5755,6296,6655,7127,7391,7607,7572,7882,8223,8455,8591,9181,9346,9673,10142,10324,10504,10237,10693,11477
ITL3,TLF15,North Nottinghamshire,4971,5138,5226,5340,5562,5748,6045,6344,6609,6853,7027,6849,7080,7301,7529,7755,7915,8197,8334,8593,8878,9272,9168,9709,10245
ITL3,TLF16,South Nottinghamshire,3365,3488,3507,3645,3764,3862,4046,4316,4490,4712,4867,4797,4936,4999,5220,5420,5458,5636,5754,5938,6345,6544,6565,6924,7704
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",21513,21975,23261,23990,24734,26256,27691,28964,31057,32802,34341,33353,34676,34529,35855,37396,39327,40806,42047,43622,45780,47001,44753,49590,54370
ITL3,TLF21,Leicester,3814,3929,4133,4249,4365,4667,5017,5265,5647,5967,6222,6178,6468,6523,6776,7022,7625,7892,8111,8246,8619,8910,8550,9401,9996
ITL3,TLF22,Leicestershire CC and Rutland,8740,8902,9428,9762,10159,10845,11406,11889,12733,13390,14125,13694,14162,13952,14555,15097,15738,16343,16788,17388,18077,18374,17265,19329,21571
ITL3,TLF24,West Northamptonshire,5334,5423,5808,6018,6217,6505,6841,7226,7863,8369,8702,8413,8744,8848,8989,9562,9966,10360,10767,11456,12240,12644,12144,13420,14602
ITL3,TLF25,North Northamptonshire,3625,3721,3891,3961,3992,4240,4426,4585,4814,5077,5293,5068,5302,5207,5536,5716,5999,6211,6380,6532,6843,7073,6795,7440,8202
ITL2,TLF3,Lincolnshire,7752,7865,8239,8821,9289,9812,9734,9947,10644,11204,11869,11494,11614,11829,12367,13025,13397,13636,13813,14735,15238,15977,15540,16948,18131
ITL3,TLF30,Lincolnshire CC,7752,7865,8239,8821,9289,9812,9734,9947,10644,11204,11869,11494,11614,11829,12367,13025,13397,13636,13813,14735,15238,15977,15540,16948,18131
ITL1,TLG,West Midlands,70549,72692,74881,77750,80645,84675,88691,92635,95849,98568,101882,98545,101973,105196,108708,113768,119178,123641,129344,135971,140639,143430,136085,147563,160370
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",16845,17862,18685,19008,19602,20738,21655,22505,23852,24070,25168,24369,25115,26426,28043,29702,31360,32649,33099,36037,37289,37951,36320,37581,40522
ITL3,TLG11,"Herefordshire, County of",2164,2276,2385,2405,2532,2604,2589,2612,2709,2774,2935,2827,2843,2992,3096,3239,3419,3518,3543,3692,3894,4049,3893,4170,4456
ITL3,TLG12,Worcestershire CC,6820,7132,7479,7644,7803,8295,8799,9052,9678,9625,10088,9956,10212,10770,11392,11850,12443,12625,12671,13544,14048,14422,14111,14467,15614
ITL3,TLG13,Warwickshire CC,7861,8454,8821,8960,9267,9839,10267,10842,11465,11671,12145,11586,12060,12665,13554,14613,15498,16506,16885,18801,19347,19480,18316,18945,20452
ITL2,TLG2,Shropshire and Staffordshire,18361,18608,18998,19754,20825,21921,23219,24167,24931,25529,26849,25627,26430,27246,27760,28800,29722,30734,31846,33314,34718,35710,34629,39995,43512
ITL3,TLG21,Telford and Wrekin,2322,2403,2420,2559,2631,2739,2892,2980,3075,3135,3242,3140,3204,3315,3430,3579,3672,3727,4097,4263,4418,4651,4733,5457,6143
ITL3,TLG22,Shropshire CC,3341,3389,3489,3640,3871,4088,4292,4460,4604,4717,5020,4800,4896,5021,5124,5334,5547,5628,5834,6000,6301,6336,6155,7080,7856
ITL3,TLG23,Stoke-on-Trent,2793,2799,2852,2935,3079,3249,3495,3673,3828,3959,4223,4173,4218,4369,4496,4650,4719,4844,4874,5239,5619,5792,5757,6515,6845
ITL3,TLG24,Staffordshire CC,9905,10018,10237,10620,11243,11845,12540,13054,13424,13718,14363,13514,14111,14542,14711,15236,15784,16535,17041,17812,18379,18931,17985,20944,22668
ITL2,TLG3,West Midlands,35343,36221,37199,38988,40219,42016,43817,45963,47065,48969,49865,48549,50428,51524,52905,55266,58096,60259,64400,66620,68632,69770,65135,69987,76335
ITL3,TLG31,Birmingham,13635,14047,14444,15282,15897,16817,17752,18697,19167,20107,20485,20303,20935,21321,21802,22971,23921,24697,25962,26650,27729,28337,26871,29240,32013
ITL3,TLG32,Solihull,4194,4243,4478,4697,4750,4918,5025,5250,5344,5521,5527,5181,5610,5767,6060,6369,6707,7375,8363,9142,9401,9666,8471,8823,9711
ITL3,TLG33,Coventry,4950,5059,5196,5441,5525,5771,6035,6398,6472,6815,7080,7071,7444,7588,7738,7962,8589,9105,9982,9818,9963,10181,9410,9894,10723
ITL3,TLG36,Dudley,3240,3340,3393,3556,3663,3723,3859,3993,4101,4266,4289,4029,4172,4264,4445,4569,4679,4711,4897,5098,5152,5273,4931,5440,5931
ITL3,TLG37,Sandwell,3676,3712,3743,3831,3990,4157,4271,4424,4611,4647,4721,4621,4682,4646,4810,5020,5468,5722,6013,6333,6560,6391,6231,6393,6798
ITL3,TLG38,Walsall,2634,2692,2729,2806,2883,3002,3141,3282,3336,3447,3507,3307,3464,3664,3813,4079,4357,4436,4660,4723,4702,4666,4295,4738,5088
ITL3,TLG39,Wolverhampton,3013,3127,3217,3376,3510,3627,3733,3920,4035,4166,4256,4037,4121,4274,4236,4296,4376,4213,4521,4856,5125,5256,4927,5460,6069
ITL1,TLH,East,77553,80595,84943,89429,92850,98789,101976,107556,112850,117095,121793,118538,120046,120788,124698,130070,137065,142041,148202,158425,161840,168719,159550,173381,189303
ITL2,TLH1,East Anglia,30320,31607,33225,34790,36436,38235,39726,41953,45108,46493,47987,47496,48365,49369,51553,53345,55364,56696,58851,61929,62793,66515,64644,68903,74203
ITL3,TLH11,Peterborough,3233,3378,3400,3570,3656,3796,4072,4534,5035,5111,5032,4644,4756,4897,5054,5049,5434,5313,5700,6309,6783,6449,6327,6838,7189
ITL3,TLH12,Cambridgeshire CC,8827,9231,9709,10254,10809,11330,11733,12283,13163,13720,14301,14316,14785,15086,15800,16255,16805,17526,18194,19150,19455,20760,20931,22054,23844
ITL3,TLH14,Suffolk CC,9267,9684,10220,10622,11094,11626,12077,12755,13623,13947,14310,14014,14175,14506,15077,15736,16296,16755,17458,18105,18402,19445,18347,19465,20811
ITL3,TLH15,Norwich and East Norfolk,4008,4127,4386,4614,4854,5145,5374,5664,6182,6411,6726,6936,6966,6999,7432,7852,8045,8205,8331,8997,8736,9943,9236,10042,11093
ITL3,TLH16,North and West Norfolk,2579,2650,2786,2867,3013,3164,3188,3300,3438,3542,3731,3716,3738,3824,3983,4094,4234,4272,4400,4473,4508,4652,4511,4798,5179
ITL3,TLH17,Breckland and South Norfolk,2404,2538,2724,2863,3010,3175,3281,3416,3666,3763,3887,3870,3946,4056,4207,4359,4550,4626,4768,4895,4908,5265,5293,5706,6087
ITL2,TLH2,Bedfordshire and Hertfordshire,26312,27793,29352,30703,31773,33578,34677,37062,38035,39803,42064,40238,39830,39743,40543,43246,46333,48278,50408,54434,55595,57802,54114,58784,64283
ITL3,TLH21,Luton,2827,2933,3194,3361,3449,3609,3641,3787,3909,4133,4361,4068,4103,4094,4250,4700,5228,5447,5531,5833,5908,6134,5239,5530,6649
ITL3,TLH23,Hertfordshire CC,18543,19695,20702,21665,22391,23771,24727,26552,27254,28549,30227,28975,28500,28378,28791,30637,32702,34128,35682,38619,39590,41352,39505,42875,46435
ITL3,TLH24,Bedford,2053,2157,2256,2365,2463,2594,2666,2878,2969,3072,3236,3131,3091,3055,3133,3227,3441,3563,3684,3981,4023,4298,3920,4415,4763
ITL3,TLH25,Central Bedfordshire,2890,3009,3199,3312,3469,3603,3643,3845,3903,4049,4241,4064,4136,4215,4370,4683,4963,5139,5511,6000,6074,6018,5450,5964,6436
ITL2,TLH3,Essex,20921,21195,22366,23936,24641,26977,27572,28541,29707,30800,31741,30805,31851,31677,32602,33479,35368,37067,38942,42062,43452,44402,40792,45694,50817
ITL3,TLH31,Southend-on-Sea,1525,1578,1648,1761,1843,1994,2088,2157,2292,2378,2465,2470,2491,2494,2578,2602,2695,2720,2827,3044,3151,3080,2714,3052,3321
ITL3,TLH32,Thurrock,2097,2066,2092,2241,2268,2593,2681,2839,2940,3052,3101,3058,3128,2977,3093,3011,3240,3485,3564,4031,4239,4354,4100,4703,5616
ITL3,TLH34,Essex Haven Gateway,4618,4657,4921,5268,5374,5872,6027,6233,6452,6673,6911,6730,6988,7046,7266,7422,7856,8412,9078,9979,10141,10229,9316,10516,11492
ITL3,TLH35,West Essex,4158,4309,4529,4837,5088,5584,5732,5900,6158,6392,6527,6253,6525,6387,6392,6607,6785,7283,7757,8366,8634,8628,7662,8557,9404
ITL3,TLH36,Heart of Essex,4472,4503,4789,5193,5328,5788,5877,6053,6317,6566,6674,6615,6739,6758,6941,7120,7805,8167,8382,8981,9341,9721,8902,9918,10865
ITL3,TLH37,Essex Thames Gateway,4051,4082,4387,4634,4740,5145,5166,5358,5548,5739,6063,5679,5980,6015,6333,6717,6988,6999,7335,7661,7947,8390,8099,8948,10119
ITL1,TLI,London,180830,189936,204141,211363,219301,232098,243762,263629,279479,303353,311842,307196,319195,331142,345079,362562,387074,400902,426076,441384,458081,473666,437281,469594,519178
ITL2,TLI3,Inner London - West,70646,73644,80367,83227,86748,92306,97641,107611,114365,126216,129420,130692,136887,141661,147723,156845,168483,174042,189646,198548,208653,217250,207366,229232,253205
ITL3,TLI31,Camden and City of London,34269,35042,38564,39365,41183,44506,47787,53490,58434,64433,64287,67180,71046,73195,74037,78893,84583,89060,98499,102981,107791,112582,110876,124069,133952
ITL3,TLI32,Westminster,25972,27373,29741,31105,32325,34000,35352,38663,40001,44251,46518,45702,47678,49260,52207,54765,58826,58906,64591,68426,72075,75551,69927,77550,89449
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,7408,7955,8556,9012,9328,9739,10275,10897,11154,12322,13233,12663,12961,13757,15491,16892,18277,18861,19150,19835,21342,21650,19852,20546,22088
ITL3,TLI34,Wandsworth,2997,3274,3506,3744,3912,4061,4227,4562,4776,5210,5382,5147,5201,5449,5988,6295,6797,7216,7406,7306,7445,7466,6711,7068,7716
ITL2,TLI4,Inner London - East,39711,41654,45701,47563,49347,52260,55338,60540,64004,70595,74211,74884,78407,83977,85695,88959,94346,98209,102985,107853,110810,113626,105984,112319,125855
ITL3,TLI41,Hackney and Newham,5172,5442,5850,6153,6397,6756,7024,7553,7829,8418,8867,8695,9040,9545,10038,10455,11265,11852,12444,13334,14291,15927,15481,17181,18845
ITL3,TLI42,Tower Hamlets,12314,12622,13976,14287,14970,15988,17176,19276,21211,23499,24477,25681,26746,28955,28402,29872,31664,32062,34187,37034,36113,35718,34615,35246,36556
ITL3,TLI43,Haringey and Islington,9174,9684,10624,11004,11405,12008,12650,13537,14098,15526,16351,16192,16841,17630,18239,19532,20979,22046,22413,22807,23837,24264,22048,23877,30020
ITL3,TLI44,Lewisham and Southwark,8351,8861,9715,10200,10569,11148,11750,12792,13339,14720,15523,15506,16306,17789,18755,19330,19318,20693,21783,22206,23787,25055,22826,23804,25581
ITL3,TLI45,Lambeth,4702,5045,5536,5918,6007,6360,6738,7382,7527,8431,8993,8810,9473,10058,10262,9770,11119,11555,12158,12473,12782,12663,11016,12211,14853
ITL2,TLI5,Outer London - East and North East,19196,20125,20849,21598,22403,23729,24745,26061,27674,29054,29538,27488,28578,28882,30644,32110,33299,34600,35883,36133,37366,38731,33795,36296,40053
