ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
UK,UK,United Kingdom,900616,937087,987906,1030305,1072233,1134233,1190196,1260800,1326726,1391313,1443160,1413258,1452831,1485944,1531136,1590755,1661052,1713429,1782115,1860286,1925435,2000157,1903575,2040499
Other,TLB,England,766249,798389,836540,872980,911494,963592,1009316,1067675,1122036,1180235,1221634,1201466,1234662,1260735,1302657,1355517,1421760,1476111,1538152,1602250,1655075,1720794,1643368,1760438
ITL1,TLC,North East,28853,29299,30184,31407,33548,35530,38358,40149,42268,43147,44356,44174,44959,45571,46671,47338,48785,50588,51367,52630,53550,56008,52767,56483
ITL2,TLC1,Tees Valley and Durham,12219,12719,13137,13356,14058,15090,16125,16714,17663,18220,18918,19082,19218,19149,19491,19900,20389,21129,21213,21376,22144,22968,22022,23668
ITL3,TLC11,Hartlepool and Stockton-on-Tees,3345,3502,3592,3619,3819,4098,4377,4526,4845,5097,5199,5341,5349,5354,5421,5651,5753,6095,6251,6210,6259,6598,6408,6854
ITL3,TLC12,South Teesside,2734,2810,2885,2861,2959,3205,3367,3546,3693,3769,3950,3978,4002,4029,4102,4122,4250,4412,4444,4421,4679,4776,4528,4925
ITL3,TLC13,Darlington,1519,1553,1671,1776,1898,2024,2159,2142,2178,2134,2267,2146,2208,2265,2268,2298,2565,2724,2580,2563,2547,2524,2342,2462
ITL3,TLC14,Durham CC,4622,4854,4989,5099,5382,5762,6221,6500,6948,7220,7502,7617,7658,7501,7699,7828,7822,7898,7938,8183,8659,9070,8744,9428
ITL2,TLC2,"Northumberland, and Tyne and Wear",16634,16580,17047,18051,19490,20440,22233,23435,24605,24927,25438,25091,25741,26422,27180,27439,28396,29459,30154,31254,31405,33040,30745,32814
ITL3,TLC21,Northumberland,3053,3048,3103,3205,3468,3596,3857,3987,4191,4276,4418,4337,4462,4494,4519,4505,4664,4775,4966,5054,5093,5409,5166,5512
ITL3,TLC22,Tyneside,10085,10106,10385,11092,11981,12612,13742,14576,15288,15496,15696,15330,15881,16483,17064,16827,17378,18164,18612,19340,19527,20441,19058,20624
ITL3,TLC23,Sunderland,3496,3426,3560,3754,4041,4232,4635,4873,5127,5156,5324,5424,5398,5446,5596,6107,6354,6520,6577,6860,6785,7189,6521,6679
ITL1,TLD,North West,88391,92536,94855,100575,105316,111246,117236,123335,130398,135216,138272,137621,140711,141472,145342,150668,156662,163174,169658,177275,181697,190312,181533,196028
ITL2,TLD1,Cumbria,6540,6739,6681,6698,7117,7632,7874,8249,8919,9155,9812,9597,9852,9740,10095,10449,10959,11374,11275,11467,11687,12325,11296,12083
ITL3,TLD11,West Cumbria,3009,3119,2884,2827,2989,3148,3210,3439,3697,3764,4133,4055,4204,4169,4333,4507,4763,4894,4774,4783,4904,5019,4667,4935
