ITL,ITL code,Region name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
UK,UK,United Kingdom,"58,474,943","58,684,427","58,886,065","59,113,016","59,365,677","59,636,662","59,950,364","60,413,276","60,826,967","61,319,075","61,823,772","62,260,486","62,759,456","63,285,145","63,715,943","64,149,121","64,634,893","65,109,358","65,636,941","66,000,892","66,332,727","66,679,607","66,796,967","67,044,988","67,596,279"
Other,TLB,England,"48,820,583","49,032,872","49,233,311","49,449,746","49,679,267","49,925,517","50,194,600","50,606,034","50,965,186","51,381,093","51,815,853","52,196,381","52,642,452","53,107,169","53,506,812","53,918,686","54,370,319","54,808,676","55,289,034","55,619,548","55,924,528","56,230,056","56,325,961","56,554,891","57,106,398"
ITL1,TLC,North East,"2,560,883","2,550,314","2,543,421","2,540,090","2,540,600","2,540,461","2,540,502","2,547,127","2,552,568","2,562,045","2,569,312","2,575,441","2,586,868","2,596,441","2,598,972","2,603,299","2,610,482","2,611,804","2,618,253","2,623,787","2,629,393","2,636,676","2,637,426","2,647,493","2,683,040"
ITL2,TLC1,Tees Valley and Durham,"1,149,732","1,147,357","1,146,998","1,145,911","1,145,555","1,146,290","1,147,588","1,151,006","1,154,698","1,159,628","1,164,126","1,166,314","1,171,381","1,176,022","1,177,283","1,178,584","1,181,036","1,182,799","1,185,354","1,188,601","1,190,189","1,193,188","1,193,651","1,199,812","1,216,883"
ITL3,TLC11,Hartlepool and Stockton-on-Tees,"269,103","270,524","272,328","273,947","274,933","275,833","276,004","276,807","278,051","278,906","280,418","281,508","282,675","283,912","285,181","286,388","287,471","287,915","288,672","289,352","289,797","289,261","288,590","289,607","293,827"
ITL3,TLC12,South Teesside,"284,411","282,565","281,444","280,392","278,610","277,615","277,094","276,694","275,790","275,130","274,397","273,140","273,050","273,532","273,423","273,426","274,136","274,972","275,993","276,797","277,333","278,833","279,030","280,548","285,460"
ITL3,TLC13,Darlington,"99,273","98,172","98,088","97,894","98,474","98,911","99,343","100,287","101,509","102,632","103,694","104,355","105,028","105,584","105,557","105,591","105,825","105,988","106,258","106,541","106,411","106,532","106,827","108,210","109,469"
ITL3,TLC14,Durham CC,"496,945","496,096","495,138","493,678","493,538","493,931","495,147","497,218","499,348","502,960","505,617","507,311","510,628","512,994","513,122","513,179","513,604","513,924","514,431","515,911","516,648","518,562","519,204","521,447","528,127"
ITL2,TLC2,"Northumberland, and Tyne and Wear","1,411,151","1,402,957","1,396,423","1,394,179","1,395,045","1,394,171","1,392,914","1,396,121","1,397,870","1,402,417","1,405,186","1,409,127","1,415,487","1,420,419","1,421,689","1,424,715","1,429,446","1,429,005","1,432,899","1,435,186","1,439,204","1,443,488","1,443,775","1,447,681","1,466,157"
ITL3,TLC21,Northumberland,"307,241","307,490","307,348","307,363","308,499","309,448","310,140","310,752","311,375","312,960","314,057","314,489","315,463","316,278","315,924","315,013","315,274","314,188","314,327","315,663","316,153","318,027","318,490","321,532","324,362"
ITL3,TLC22,Tyneside,"814,201","807,940","803,355","802,215","803,509","803,195","802,661","806,170","808,125","811,623","814,317","818,429","824,044","828,811","830,448","834,455","838,421","839,409","843,082","844,707","848,712","851,184","851,702","851,771","864,441"
ITL3,TLC23,Sunderland,"289,709","287,527","285,720","284,601","283,037","281,528","280,113","279,199","278,370","277,834","276,812","276,209","275,980","275,330","275,317","275,247","275,751","275,408","275,490","274,816","274,339","274,277","273,583","274,378","277,354"
ITL1,TLD,North West,"6,792,173","6,773,115","6,774,223","6,772,985","6,784,880","6,814,660","6,840,369","6,870,021","6,901,585","6,929,277","6,958,547","6,986,156","7,019,921","7,055,961","7,079,344","7,105,146","7,141,096","7,182,651","7,234,141","7,275,765","7,316,116","7,363,267","7,380,605","7,424,092","7,516,113"
ITL2,TLD1,Cumbria,"489,033","488,145","487,602","487,795","488,681","491,329","494,918","497,040","498,813","500,779","500,916","500,786","500,165","499,817","498,835","498,080","498,303","498,718","498,946","498,693","498,941","499,171","498,439","500,729","503,033"
ITL3,TLD11,West Cumbria,"236,590","236,398","235,111","234,755","234,251","234,746","235,441","235,479","235,875","236,591","236,819","236,815","236,359","236,127","234,819","233,885","233,708","233,549","233,163","232,020","231,722","231,281","230,566","230,922","231,319"
ITL3,TLD12,East Cumbria,"252,443","251,747","252,491","253,040","254,430","256,583","259,477","261,561","262,938","264,188","264,097","263,971","263,806","263,690","264,016","264,195","264,595","265,169","265,783","266,673","267,219","267,890","267,873","269,807","271,714"
ITL2,TLD3,Greater Manchester,"2,521,915","2,515,488","2,516,339","2,516,096","2,523,214","2,538,555","2,549,752","2,564,055","2,582,260","2,598,619","2,620,007","2,639,833","2,661,841","2,685,386","2,700,093","2,714,958","2,733,895","2,756,962","2,784,566","2,804,283","2,823,878","2,847,959","2,856,110","2,869,531","2,911,744"
ITL3,TLD33,Manchester,"417,726","416,438","421,799","422,915","428,221","436,727","444,925","455,745","463,749","470,538","477,408","483,784","492,598","502,902","506,869","510,783","515,360","523,321","533,446","536,961","540,675","545,947","547,340","550,630","568,996"
