ITL level,ITL code,Region name,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index,index
UK,UKX,UK less Extra-Regio,88.1,89,90.8,92.6,93.4,91.4,94.1,94.3,94.5,94.6,95,96.4,96.3,97.8,98.6,99,100,99.9
Other,TLB,England,89.2,90.2,92.1,93.9,94.5,91.7,94.6,94.8,94.6,94.9,95.4,96.6,96.4,98.1,98.8,99,100,100
ITL1,TLC,North East,90.7,91.2,91.4,91.4,90.5,88.5,92,94.6,96.4,94.3,94.9,97.7,98.1,98.6,97.8,101.3,100,97.4
ITL2,TLC1,Tees Valley and Durham,91.3,94.3,94.1,94.5,94.9,93.5,95.1,96.8,98.5,95.6,96.6,100.4,100.5,98.8,100,100.5,100,96.1
ITL3,TLC11,Hartlepool and Stockton-on-Tees,88.2,87.3,89.8,93.6,85.7,87.6,89.2,89.4,97.4,93.3,92.1,95.1,96.3,89.7,91.2,93.4,100,94.6
ITL3,TLC12,South Teesside,92.9,96.8,97.2,94.2,98.8,96.9,99.9,100.1,96.9,94.9,101.1,105,104.5,103.7,103.8,100.6,100,93.1
ITL3,TLC13,Darlington,79.3,80.5,78.9,74.9,78,81.3,76.8,90.3,86.2,94.5,103,118.3,120.3,125.3,126.7,131.2,100,108.6
ITL3,TLC14,Durham CC,99.9,104.9,103.5,105.3,108.6,101.4,104.6,105,105,97.7,95.3,95.7,96,95.1,97.5,97.5,100,95.5
ITL2,TLC2,"Northumberland, and Tyne and Wear",90.3,89.1,89.6,89.3,87.5,85.1,89.7,93,94.9,93.3,93.7,95.8,96.4,98.4,96.2,101.8,100,98.3
ITL3,TLC21,Northumberland,95.2,98.7,98.9,95.5,90.6,85.6,89.6,95.4,100,94,99,99.8,96.7,98.6,96.5,96.5,100,101.2
ITL3,TLC22,Tyneside,86.7,85.3,86.5,87,85.2,82.8,86.5,89.9,92,89.7,88.4,91.1,93.8,95.2,93.6,100.8,100,100
ITL3,TLC23,Sunderland,98.4,92.3,91.1,90.3,90,90.7,97.8,94.9,92.4,98.4,102.4,104.4,103.1,106.2,104.2,111.4,100,93.9
ITL1,TLD,North West,90.4,92,94.8,95.7,95.4,93.5,95.1,95.4,95.5,95.9,94.4,97.3,98,99.8,99.1,98,100,100.9
ITL2,TLD1,Cumbria,94.3,104.1,105.9,94.2,98.6,95.3,90.7,98.3,96.8,97.9,97.2,100.7,100.8,100.3,100.5,100.8,100,102.1
ITL3,TLD11,West Cumbria,90,96.3,98.6,92.5,94.5,88.5,84.5,87.5,91.9,94.7,95.9,95.6,95.7,93.6,93.3,91.1,100,107.9
ITL3,TLD12,East Cumbria,100.3,112.9,115.8,98.8,103.9,105,99.2,112.3,103.6,103.8,101.1,108.8,107.4,106.3,107.4,110.6,100,99.9
ITL2,TLD3,Greater Manchester,83,84.4,87.3,91.1,90.7,89.9,91.9,91.5,92.8,93.5,91.6,95.9,94.8,97.2,97.4,96.9,100,96.8
ITL3,TLD33,Manchester,85.6,92.3,92.3,98.6,97.7,102.8,99.5,101,102.9,96.8,95.4,99.5,95.3,100,102.2,101.2,100,103.2
ITL3,TLD34,Greater Manchester South West,81.6,84.7,87.9,93.2,91.9,85.1,87.3,85.9,88.2,89.1,90.2,93.4,92.8,93.9,95.3,97.5,100,92.7
ITL3,TLD35,Greater Manchester South East,87.3,88,94.5,93.3,95.6,92.1,99.4,93.9,96.6,99.7,95.5,97,99.7,106.1,101.6,95.7,100,93.4
ITL3,TLD36,Greater Manchester North West,93.3,85.8,89.4,93.8,90.9,91.2,90.8,92,92.2,96.5,89.8,96.2,96.7,94.6,94.8,89.6,100,94.7
ITL3,TLD37,Greater Manchester North East,87,87.5,90.1,92,91.6,88.7,93.6,95.4,93.3,95.7,94,99,97.5,97.6,94.9,99.9,100,96.4
ITL2,TLD4,Lancashire,96.3,95.4,97.3,96.3,96.8,90.7,93.8,92.4,95,94.1,91,96.8,101.9,105.8,99.2,99.1,100,104.5
ITL3,TLD41,Blackburn with Darwen,87.8,91.9,97.2,86.5,91.4,95.9,97,97.3,96.4,97.6,93.4,105,106.2,110.5,102.6,107.6,100,98.8
ITL3,TLD42,Blackpool,107.7,107.8,102.1,100.5,104.6,92,109.6,105.3,99.7,107.6,94.6,103.2,113.6,110.1,109.9,111.5,100,104.3
ITL3,TLD44,Lancaster and Wyre,93.1,85.7,83.6,89.9,76.7,68.9,75,68.6,78.4,77.2,73.5,85.7,94,81.7,87.5,90.8,100,92.7
ITL3,TLD45,Mid Lancashire,99.8,97.6,100.3,97.8,99.3,93.9,93.1,92.1,95.3,92.4,89,95.7,101.4,108.9,98.3,94.7,100,107.7
ITL3,TLD46,East Lancashire,91.8,96.4,104,104,101.6,99.7,102.4,100,103.6,101.2,103.6,98.7,104.2,112.7,104.4,102.1,100,111
ITL3,TLD47,Chorley and West Lancashire,92.3,88,89.4,88.8,100.5,88.8,89.6,91.5,88.5,89.8,88.6,93,95.3,106.4,96.7,100.5,100,106.1
ITL2,TLD6,Cheshire,93.4,97.8,100.8,102.4,99.7,95.2,97.4,99.4,99.3,97.2,99.1,94.2,96.5,98.9,99.3,97.7,100,106.7
ITL3,TLD61,Warrington,90.4,86,89.3,94.6,90,88,89.1,87.4,91.6,86.3,92.1,94.6,89.6,102,102.3,101,100,103.6
ITL3,TLD62,Cheshire East,96,103.4,106.7,104.2,99.5,91.3,94.5,99.7,99.6,96.6,99.7,96.7,96.8,95.2,96.2,93.9,100,106.9
ITL3,TLD63,Cheshire West and Chester,90.6,97.9,100.9,103.5,105.2,104,104.1,105.6,102.4,104.8,101.3,89.5,100.9,100.8,100.1,99.8,100,108.1
ITL2,TLD7,Merseyside,98.3,97.6,100.9,101.8,100.8,103.5,105.2,103.8,99.2,102.2,100.2,103.2,101.7,100.6,102.6,98.4,100,101.6
ITL3,TLD71,East Merseyside,98.7,104.6,101.3,101,105.7,105,107.7,104.7,94.7,106.4,103.6,109,101.9,106.1,108.3,101.7,100,102.5
ITL3,TLD72,Liverpool,108.2,104.9,107.6,109.4,106.3,108.3,111.8,111.2,107.6,105.5,104.1,103.1,103.2,100.9,100,97.2,100,100.4
ITL3,TLD73,Sefton,81.1,80.9,88.8,87.4,88.7,100.1,95.3,90.7,87.1,89.1,88.2,97.1,94.4,95.7,101.6,93,100,92.3
ITL3,TLD74,Wirral,103.4,94.6,105.1,107.4,98.1,99.1,98.6,100.4,100.6,98.1,95.2,97.5,105,94,98.8,99.4,100,110.5
ITL1,TLE,Yorkshire and The Humber,93.7,93.6,96,98.7,98.2,93.9,94.6,94,94.8,95.1,94.5,97.4,96.7,99.1,97.4,99.8,100,100
ITL2,TLE1,East Yorkshire and Northern Lincolnshire,93.3,93.8,100.8,99.4,103.2,97.6,94.6,85.9,90.9,92.6,92.1,100.3,98.8,98.3,95.4,100.3,100,100.1
ITL3,TLE11,"Kingston upon Hull, City of",93.3,98.7,108,114.6,127.2,117.6,114,100.8,101.6,102.3,104.8,113.9,107.1,106.9,104.5,105.6,100,106.9
ITL3,TLE12,East Riding of Yorkshire,104.4,106.2,107.5,101.9,102.6,91.8,89,84.2,91.4,89.6,85.4,95.1,93.4,92.6,90.3,92.9,100,102.9
ITL3,TLE13,North and North East Lincolnshire,92.8,90.8,98.8,94.2,95.4,94.4,91.8,82,88.7,92,91.6,96.4,97.6,97.9,93.7,101.8,100,91.2
ITL2,TLE2,North Yorkshire,103.3,97.3,96.1,96.4,96.2,87.9,88.4,92.1,89.3,89,88.2,87.4,90.1,94.7,88,94.2,100,97.8
ITL3,TLE21,York,123.8,124.4,122,122.6,120.9,112.5,109,105.4,109,109.4,108.3,111.9,115.4,115.8,111.1,111.1,100,99.4
ITL3,TLE22,North Yorkshire CC,94.2,86,85.9,86,85.9,78.2,79,83.8,79.9,80.3,79.5,78.3,81.2,87.2,80.4,88.4,100,97.8
