DATE,GEOGRAPHY_NAME,COUNT
2015,Bedfordshire and Hertfordshire,559095
2015,"Berkshire, Buckinghamshire and Oxfordshire",885715
2015,Cheshire,330015
2015,Cornwall and Isles of Scilly,125620
2015,Cumbria,150685
2015,Derbyshire and Nottinghamshire,626365
2015,Devon,301205
2015,Dorset and Somerset,352015
2015,East Anglia,743260
2015,East Wales,347260
2015,East Yorkshire and Northern Lincolnshire,254940
2015,Eastern Scotland,587265
2015,Essex,453315
2015,"Gloucestershire, Wiltshire and Bath/Bristol area",782120
2015,Greater Manchester,848770
2015,Hampshire and Isle of Wight,575750
2015,"Herefordshire, Worcestershire and Warwickshire",405445
2015,Highlands and Islands,126975
2015,Inner London - East,922320
2015,Inner London - West,1466660
2015,Kent,473300
2015,Lancashire,428635
2015,"Leicestershire, Rutland and Northamptonshire",560830
2015,Lincolnshire,191500
2015,Merseyside,397280
2015,North Eastern Scotland,201715
2015,North Yorkshire,235580
2015,Northumberland and Tyne and Wear,420175
2015,Outer London - East and North East,347550
2015,Outer London - South,294350
2015,Outer London - West and North West,615315
2015,Shropshire and Staffordshire,450690
2015,South Yorkshire,371410
2015,Southern Scotland,214670
2015,"Surrey, East and West Sussex",836780
2015,Tees Valley and Durham,292515
2015,West Central Scotland,482210
2015,West Midlands,853140
2015,West Wales,443070
2015,West Yorkshire,706980
2016,Bedfordshire and Hertfordshire,576935
2016,"Berkshire, Buckinghamshire and Oxfordshire",910135
2016,Cheshire,335500
2016,Cornwall and Isles of Scilly,127965
2016,Cumbria,151220
2016,Derbyshire and Nottinghamshire,631535
2016,Devon,301435
2016,Dorset and Somerset,352655
2016,East Anglia,740385
2016,East Wales,360545
2016,East Yorkshire and Northern Lincolnshire,255815
2016,Eastern Scotland,596400
2016,Essex,451670
2016,"Gloucestershire, Wiltshire and Bath/Bristol area",784965
2016,Greater Manchester,864940
2016,Hampshire and Isle of Wight,575475
2016,"Herefordshire, Worcestershire and Warwickshire",412895
2016,Highlands and Islands,128395
2016,Inner London - East,933425
2016,Inner London - West,1507490
2016,Kent,467475
2016,Lancashire,425120
2016,"Leicestershire, Rutland and Northamptonshire",567995
2016,Lincolnshire,192330
2016,Merseyside,401925
2016,North Eastern Scotland,191520
2016,North Yorkshire,238475
2016,Northumberland and Tyne and Wear,407105
2016,Outer London - East and North East,351860
2016,Outer London - South,299640
2016,Outer London - West and North West,627020
2016,Shropshire and Staffordshire,448260
2016,South Yorkshire,367705
2016,Southern Scotland,220520
2016,"Surrey, East and West Sussex",848410
2016,Tees Valley and Durham,279560
2016,West Central Scotland,497895
2016,West Midlands,846540
2016,West Wales,450695
2016,West Yorkshire,698540
2017,Bedfordshire and Hertfordshire,590195
2017,"Berkshire, Buckinghamshire and Oxfordshire",875900
2017,Cheshire,339050
2017,Cornwall and Isles of Scilly,127840
2017,Cumbria,151500
2017,Derbyshire and Nottinghamshire,616915
2017,Devon,299430
2017,Dorset and Somerset,353975
2017,East Anglia,757135
2017,East Wales,363795
2017,East Yorkshire and Northern Lincolnshire,261730
2017,Eastern Scotland,595850
2017,Essex,455660
2017,"Gloucestershire, Wiltshire and Bath/Bristol area",785500
2017,Greater Manchester,898925
2017,Hampshire and Isle of Wight,564370
2017,"Herefordshire, Worcestershire and Warwickshire",429210
2017,Highlands and Islands,123020
2017,Inner London - East,938965
2017,Inner London - West,1513805
2017,Kent,455540
2017,Lancashire,422170
